L,Feature Name,Significance,Lat. (°),Long. (°),Diam. (km),Rükl Chart
1,Moon,Large satellite,—,—,"3,476",—
2,Earthshine,Twice reflected sunlight,—,—,—,—
3,Mare/highland dichotomy,Two materials with distinct compositions,—,—,—,—
4,Apennines,Imbrium basin rim,18.9N,3.7W,70,22
5,Copernicus,Archetypal large complex crater,9.7N,20.1W,93,31
6,Tycho,Large rayed crater with impact melts,43.4S,11.1W,85,64
7,Altai Scarp,Nectaris basin rim,24.3S,22.6E,425,57
8,"Theophilus, Cyrillus, Catharina",Crater sequence illustrating stages of degradation,13.2S,24.0E,—,"46, 57"
9,Clavius,Lacks basin features in spite of its size,58.8S,14.1W,225,72
10,Mare Crisium,Mare contained in large circular basin,18.0N,59.0E,540,"26, 27, 37, 38"
11,Aristarchus,Very bright crater with dark bands on its walls,23.7N,47.4W,40,18
12,Proclus,Oblique-impact rays,16.1N,46.8E,28,26
13,Gassendi,Floor-fractured crater,17.6S,40.1W,101,52
14,Sinus Iridum,Very large crater with missing rim,45.0N,32.0W,260,10
15,Straight Wall,Best example of a lunar fault,21.8S,7.8W,110,54
16,Petavius,Crater with domed & fractured floor,25.1S,60.4E,177,59
17,Schröter's Valley,Giant sinuous rille,26.2N,50.8W,168,18
18,Mare Serenitatis dark edges,Distinct mare areas with different compositions,17.8N,23.0E,N/A,24
19,Alpine Valley,Lunar graben,49.0N,3.0E,165,4
20,Posidonius,Floor-fractured crater,31.8N,29.9E,95,14
21,Fracastorius,Crater with subsided & fractured floor,21.5S,33.2E,124,58
22,Aristarchus Plateau,Mysterious uplifted region mantled with pyroclastics,26.0N,51.0W,150,18
23,Pico,Isolated Imbrium basin-ring fragment,45.7N,8.9W,25,11
24,Hyginus Rille,Rille containing rimless collapse pits,7.4N,7.8E,220,34
25,Messier & Messier A,Oblique ricochet-impact pair,1.9S,47.6E,11,48
26,Mare Frigoris,Arcuate mare of uncertain origin,56.0N,1.4E,1600,2–6
27,Archimedes,Large crater lacking central peak,29.7N,4.0W,83,"12, 22"
28,Hipparchus,First drawing of a single crater,5.5S,4.8E,150,"44, 45"
29,Ariadaeus Rille,"Long, linear graben",6.4N,14.0E,250,34
30,Schiller,Possible oblique impact,51.9S,39.0W,180,71
