Entry Number,Atlas Title,Authors/Editors,Publisher,Publication Year,Available on Archive.org,Archive.org Access Type,Aristarchus Reference Code
2,Atlas of the Moon,Antonín Rükl,Kalmbach Books / Hamlyn,1990,Yes,Controlled Digital Lending (Borrowable),18 - Aristarchus
3,Atlas photographique de la Lune à haute résolution,Georges Viscardy,Masson / Éditions de la Courtille,1985,No,N/A,340
4,Atlas of the lunar terminator,John E. Westfall,Cambridge University Press,2000,Yes,Controlled Digital Lending (Borrowable),048N 055N 061N 067N 213N 225N
5,The Modern Moon: A Personal View,Charles A. Wood,Sky Publishing Corp.,2003,Yes,Controlled Digital Lending (Borrowable),ST01/03 MM167 L100/011
6,Lunar Orbiter Photographic Atlas of the Moon,"David Bowker, J. Hughes / NASA",NASA / LPI,1971,Yes,Public Domain (Free Access),IV-150-H3 IV-151-H1 IV-157-M
7,Clementine atlas of the Moon,"Ben Bussey, Paul D. Spudis",Cambridge University Press,2004,Yes,Controlled Digital Lending (Borrowable),39
8,20th century atlas of the Moon,"Charles A. Wood, Maurice J. Collins",Lunar Enterprise Institute,2012,No,N/A,28 FM1
9,Reiseatlas Mond (Moon Travel Atlas),Ronald Stoyan,Oculum-Verlag,2013,No,N/A,31 D31
10,The Hatfield Photographic lunar atlas,"Jeremy Cook (Ed.), Henry Hatfield",Springer,1999,Yes,Controlled Digital Lending (Borrowable),7c8 8d2
11,The Chang'e 1 topographic atlas of the Moon,Ziyuan Ouyang et al.,Springer / Science Press,2012,No,N/A,76
12,Discover the Moon,"Jean Lacroux, Christian Legrand",Cambridge University Press,2003,Yes,Controlled Digital Lending (Borrowable),"1,10112114120132E+017"
13,The Times atlas of the Moon,H.A.G. Lewis (Ed.),Times Books / HarperCollins,1969,Yes,Controlled Digital Lending / Full Scan,24 25
14,The Kaguya lunar atlas,"Motomaro Shirao, Charles A. Wood",Springer,2011,Yes,Controlled Digital Lending (Borrowable),60
15,Lunar Orbiter Photographic atlas of the Nearside of the Moon,Charles J. Byrne,Springer,2005,Yes,Controlled Digital Lending (Borrowable),121122
16,The Farside of the Moon: A photographic guide,Charles J. Byrne,Springer,2013,Yes,Controlled Digital Lending (Borrowable),Not mentioned
17,The 6 inches lunar atlas,David Spain,Self-published / Digital,2010,No,N/A,229232
18,Lunar field atlas,Falk Dase,Dase Observatory / Self-published,2010,No,N/A,30
19,Photographic lunar atlas for Moon observers,Kwok C. Pau,Self-published / HKAS,2011,No,N/A,64
20,Luna Cognita: A Comprehensive Observer's Handbook,Robert A. Garfinkle,Springer,2020,No,N/A,2-35 / 3-9 / 3-13 / 3-21 / 3-27 / 3-35 / 6-23 / 6-25 / 8-1 / 15-26 / 16-19 / 16-22 / 16-23 / 17-15 / 17-18 / 17-20 / 20-1 / 23-19 / 23-21 / 23-22 / 23-24–27 / 26-15 / 26-20 / 26-21 / 28-7 / 28-11–15 / 30-6 / A-3 / C-26 / E-3 / E-4 / E-7 / E-24 / E-31 / I-2 / L-14 / O-3 / O-5
21,Lunar & Planetary Institute Lunar Astronautical Charts (LAC),US Air Force / NASA / LPI,Aeronautical Chart and Information Center,1960s,Yes,Public Domain (Free Access),39
22,Moongazing: Beginner's guide to exploring the Moon,Tom Kerss,Collins,2018,No,N/A,44 - C1
23,Duplex Moon Atlas,Ronald Stoyan,Oculum-Verlag,2022,No,N/A,31
24,Moon atlas,Vincent de Callataÿ,Harold Hill / University of Pittsburgh Press,1964,Yes,Controlled Digital Lending (Borrowable),21
25,New atlas of the Moon,"Thierry Legault, Serge Brunier",Firefly Books,2006,Yes,Controlled Digital Lending (Borrowable),"32, 54, 60, 105"
26,The Cambridge photographic Moon atlas,"Alan Chu, Wolfgang Paech, Mario Weigand",Cambridge University Press,2012,Yes,Controlled Digital Lending (Borrowable),58
27,A portfolio of lunar drawings,Harold Hill,Cambridge University Press,1991,Yes,Controlled Digital Lending (Borrowable),Not mentioned
